"","city","cityname","country","countryname","gdp","lat","long","kgclzone","kgclzone1","kgclzone2","region","era5_temp_mean_qaic","wbtemp_qaic","apptemp_qaic","discomfortind_qaic","swptemp80_qaic","swptemp60_qaic","swptemp40_qaic","swptemp20_qaic"
"1","bnsa.arg0515","Buenos Aires","arg0515","Argentina",7193,-34.6037,-58.3816,"Cfa","C","Cf","South America",9097.87234653478,9159.45656656462,9097.19427790288,9117.0766561905,9142.16476759384,9125.12225561872,9109.83641308327,9099.70162282452
"2","crdb.arg0515","Cordoba","arg0515","Argentina",7193,-31.4201,-64.1888,"Cwa","C","Cw","South America",7468.11194036567,7543.43871088603,7513.01597726617,7506.47488010298,7534.39919145077,7517.70867217256,7494.51757419846,7474.94444670271
"3","rosr.arg0515","Rosario","arg0515","Argentina",7193,-32.9442,-60.6505,"Cfa","C","Cf","South America",7494.28094105127,7581.71763318559,7519.83884583902,7524.79792335476,7564.82733988997,7538.78510131094,7512.33087239721,7496.2834298846
"4","brsb.aus8809","Brisbane","aus8809","Australia",20536.4,-27.4667,153.0333,"Cfa","C","Cf","Australia",16084.3614847474,16117.4475737837,16075.9348122341,16080.218302253,16101.8399439112,16086.1060721919,16076.4859458459,16075.7656562936
"5","mlbr.aus8809","Melbourne","aus8809","Australia",20536.4,-37.7833,144.9667,"Cfb","C","Cf","Australia",16769.3694365851,16883.5338162418,16810.9256385765,16797.9405694143,16855.064719849,16815.5517561202,16785.3102177502,16773.3693073141
"6","sydn.aus8809","Sydney","aus8809","Australia",20536.4,-33.8683,151.2086,"Cfa","C","Cf","Australia",17452.3172152197,17543.3535918644,17497.652152579,17495.9814497913,17527.2796645761,17507.6420928797,17482.4316603064,17459.4843771215
"7","belm.bra9711","Belem","bra9711","Brazil",3596.2,-1.456,-48.504,"Af","A","Af","South America",10194.0310246852,10203.7117005008,10192.1801877381,10198.8195770243,10201.7192843792,10199.0651477321,10199.0748331657,10194.8041172602
"8","blhr.bra9711","Belo Horizonte","bra9711","Brazil",3596.2,-19.817,-43.956,"Cwa","C","Cw","South America",13397.4415282162,13444.8221482256,13398.1511413834,13407.9400658605,13452.1071744724,13426.9782733752,13394.2816114274,13389.546228275
"9","brsl.bra9711","Brasilia","bra9711","Brazil",3596.2,-15.78,-47.93,"Aw","A","Aw","South America",9901.66653861211,9897.19229070239,9902.65802589399,9902.88177002445,9899.7027623006,9900.82551181007,9902.49352165682,9901.97910393521
"10","crtb.bra9711","Curitiba","bra9711","Brazil",3596.2,-25.428,-49.273,"Cfb","C","Cf","South America",10219.7936905775,10227.1253439825,10228.3780962227,10221.0632645449,10223.6687809739,10221.66101772,10220.5910886347,10219.6196127997
