"","x"
"bnsa.arg0515",70.2030663915979
"crdb.arg0515",66.8710996596067
"rosr.arg0515",65.3138001134645
"brsb.aus8809",76.5879669131589
"mlbr.aus8809",65.2461455963216
"sydn.aus8809",74.6950547497156
"belm.bra9711",76.0405396174863
"blhr.bra9711",76.8875996974698
"brsl.bra9711",63.8552254098361
"crtb.bra9711",84.0149374312431
"cuib.bra9711",71.1807974726776
"frtl.bra9711",75.9775914634146
"goin.bra9711",55.800256147541
"jpss.bra9711",79.3950770077008
"mace.bra9711",78.873676430143
"mans.bra9711",80.8917862021858
"natl.bra9711",76.2951732673267
"prta.bra9711",76.7912541254125
"recf.bra9711",76.0507425742574
"slus.bra9711",77.9232240437158
"slvd.bra9711",79.8873418591859
"spal.bra9711",81.3027880913091
"trsn.bra9711",56.5066769125683
"vitr.bra9711",82.2299917491749
"abbt.can8615",73.4575819672131
"clgr.can8615",65.4002860314208
"edmn.can8615",67.4831924521858
"hlfx.can8615",79.3407786885246
"hmlt.can8615",70.7457991803279
"kngs.can8615",75.1950221994535
"ktwa.can8615",71.8744364754098
"lndo.can8615",72.3388319672131
"mntr.can8615",72.0936219262295
"nigr.can8615",72.8230020491803
"okvl.can8615",70.7988046448087
"oshw.can8615",72.0008025956284
"ottw.can8615",72.8572831284153
"regn.can8615",65.4109118852459
"sarn.can8615",72.7194586748634
"sdbr.can8615",72.8085553278689
"sjnb.can8615",82.6478568989071
"sjnf.can8615",84.4970713797814
"slsm.can8615",79.4096396857924
"sskt.can8615",63.5018613387978
"thnb.can8615",71.6991120218579
"trnt.can8615",70.9773138661202
"vctr.can8615",80.338806352459
"vncv.can8615",74.8271772540984
"wnds.can8615",69.3435365437158
"wnnp.can8615",69.0377433401639
"ansh.chi9615",70.7567025273224
"bjng.chi9615",59.4629417908762
"fuzh.chi9615",76.3258196721311
"hngk.chi9615",82.6420887002342
"hngz.chi9615",74.598787568306
"lnzh.chi9615",47.4629319105691
"shng.chi9615",77.3994535519126
"shny.chi9615",71.3490650614754
"suzh.chi9615",76.6036757172131
"tayn.chi9615",62.2876016260163
"tnjn.chi9615",65.8134285348361
