"","x"
"bnsa.arg0515",22.9651349925494
"crdb.arg0515",20.4626232984027
"rosr.arg0515",23.3635206490891
"brsb.aus8809",23.7427335945277
"mlbr.aus8809",18.4545845966245
"sydn.aus8809",21.3744531208338
"belm.bra9711",27.9037700215324
"blhr.bra9711",23.2011013958452
"brsl.bra9711",24.2353795119322
"crtb.bra9711",20.6504222404052
"cuib.bra9711",27.3451626803706
"frtl.bra9711",27.239566015228
"goin.bra9711",24.874830785866
"jpss.bra9711",26.624915420314
"mace.bra9711",26.4601945094412
"mans.bra9711",27.145986288102
"natl.bra9711",27.0323151507656
"prta.bra9711",23.6863487822782
"recf.bra9711",26.4540714041497
"slus.bra9711",27.33447547454
"slvd.bra9711",26.5755493264781
"spal.bra9711",22.1670747830399
"trsn.bra9711",30.0516657761538
"vitr.bra9711",26.0467510899039
"abbt.can8615",15.8497626799704
"clgr.can8615",13.8614696148315
"edmn.can8615",14.5613100645972
"hlfx.can8615",16.6689517161885
"hmlt.can8615",19.3165121193141
"kngs.can8615",18.9511795043946
"ktwa.can8615",18.1936173235784
"lndo.can8615",19.0810828787382
"mntr.can8615",19.2611979166667
"nigr.can8615",20.1721931582592
"okvl.can8615",18.9160551477651
"oshw.can8615",18.4044359717864
"ottw.can8615",17.9322001722993
"regn.can8615",16.2264638264974
"sarn.can8615",20.1460857787419
"sdbr.can8615",16.6591835730714
"sjnb.can8615",14.715548114047
"sjnf.can8615",12.8946732651341
"slsm.can8615",16.3024712734535
"sskt.can8615",16.0664088264841
"thnb.can8615",15.4400081280151
"trnt.can8615",18.1992534116318
"vctr.can8615",14.8437195824795
"vncv.can8615",15.900890913166
"wnds.can8615",20.7767336068909
"wnnp.can8615",17.2708182579833
"ansh.chi9615",23.0652403951343
"bjng.chi9615",23.6262316365229
"fuzh.chi9615",26.3241712893293
"hngk.chi9615",27.9659940625801
"hngz.chi9615",27.3184003819534
"lnzh.chi9615",19.34419004859
"shng.chi9615",26.7402883060643
"shny.chi9615",22.7122406506148
"suzh.chi9615",27.3573232181737
"tayn.chi9615",18.7025218436389
"tnjn.chi9615",25.4564260514056
"wlmq.chi9615",23.4317347041896
"wuhn.chi9615",26.9218463835169
"xian.chi9615",25.251934715209
"chll.chl0414",19.0705489195699
"sntg.chl0414",19.8401775454464
"temc.chl0414",15.7779218960158
"vlpr.chl0414",16.7531364517842
"bogt.col9813",15.4525622946317
"brrn.col9813",27.3982432667802
"cali.col9813",19.2077017862289
"crtg.col9813",27.5122877043437
"mdll.col9813",17.5948437078213
"snjs.crc0017",25.2257729193355
"brno.cze9415",17.0879062198659
"ostr.cze9415",16.8146155448288
"prag.cze9415",17.2260089902693
"sthb.cze9415",16.7028567114673
"gyql.ecu1418",26.3172034544477
"quit.ecu1418",15.0348856946593
"khjl.est9718",15.5147807546238
"nrvl.est9718",15.3259368669081
"prnl.est9718",15.7216344819162
"tlln.est9718",15.086429581166
"trtl.est9718",15.6397162515609
"hlsn.fnl9414",14.98887964944
"brdx.fra0014",20.3557435749659
"clfr.fra0014",15.8184318167265
"dijn.fra0014",17.8455582415472
"grnb.fra0014",15.8317926292211
"lhvr.fra0014",16.8164233765316
"lill.fra0014",16.9126955626441
"lndu.fra0014",16.8974053388085
"lyon.fra0014",18.7227683979306
"mntp.fra0014",21.8148973975677
"mrsl.fra0014",22.0144085660007
"nice.fra0014",15.8067942468195
"nncy.fra0014",17.7168725519233
"nnts.fra0014",18.1522702743447
"pars.fra0014",17.6330383967832
"rnns.fra0014",16.9732599810825
"roun.fra0014",16.6034638952037
"strs.fra0014",17.9813283618031
"tols.fra0014",20.9487364555317
"brln.ger9315",17.2066202502207
"brmn.ger9315",16.4157504918485
"drsd.ger9315",17.3823578446403
"drtm.ger9315",16.7439880784375
"dssl.ger9315",17.226340250245
"frnk.ger9315",17.9609002807356
"hmbr.ger9315",16.2867908741522
"hnnv.ger9315",16.5462378917213
"koln.ger9315",17.1830971791926
"lpzg.ger9315",17.5829992401711
"mnch.ger9315",17.293472977197
"sttt.ger9315",17.6701057069742
"athn.grc0110",26.2159298005651
"gtml.gua0916",20.13623512143
"eoni.irl8407",14.1427695727739
"neri.irl8407",14.4741522617028
"nwri.irl8407",13.6042032022945
"seri.irl8407",14.7354363238225
"swri.irl8407",13.8059103439415
"woni.irl8407",14.0406266030067
"mshh.irn0215",22.9820720485
"thrn.irn0215",26.1567759886838
"bari.ita8710",23.8394854227702
"blgn.ita8710",23.8490987475453
"brsc.ita8710",21.3659649337915
"cvtv.ita8710",23.0285540744196
"frsn.ita8710",18.4937708536784
"geno.ita8710",21.9139901916838
"latn.ita8710",20.9335636951885
"plrm.ita8710",24.3549699626985
"rome.ita8710",22.2671906455619
"turn.ita8710",19.4466165122222
"vtrb.ita8710",22.0402182740592
"aich.jap7215",23.5471706446156
"akit.jap7215",22.0018277095175
"aomr.jap7215",20.2045924073888
"chib.jap7215",23.9980650625031
"ehim.jap7215",24.3940988739244
"fksh.jap7215",20.6563823613753
"fukk.jap7215",25.4449579728194
"fuku.jap7215",23.4895526864014
"gifu.jap7215",21.8330525423185
"gunm.jap7215",19.7336118996434
"hkkd.jap7215",16.6823818843979
"hrsh.jap7215",23.0785045375326
"hyog.jap7215",24.1062870740574
"ibrk.jap7215",22.7309123717424
"ishk.jap7215",23.6845492611853
"iwat.jap7215",18.8907435223229
"kagw.jap7215",25.1580885062769
"kgsh.jap7215",25.889521636084
"kmmt.jap7215",24.5978353139517
"kngw.jap7215",24.4472677491965
"koch.jap7215",24.5456915088497
"kyot.jap7215",23.2997891190732
"mie.jap7215",23.970497352421
"miyg.jap7215",20.4302618389274
"myzk.jap7215",25.462486859999
"nagn.jap7215",20.1075757014419
"nara.jap7215",23.948730686443
"ngsk.jap7215",24.4600136922111
"nigt.jap7215",22.681351987123
"oita.jap7215",25.6585463781192
"oknw.jap7215",27.3433707085552
"okym.jap7215",23.5862564756219
"osak.jap7215",23.891114350785
"saga.jap7215",24.8016981443474
"satm.jap7215",24.4472677491965
"shig.jap7215",23.2997891190732
"shmn.jap7215",23.6152513117826
"shzk.jap7215",19.8379857487102
"tchg.jap7215",23.6377894018306
"tksh.jap7215",23.9391888187055
"toky.jap7215",24.4472677491965
"toym.jap7215",24.2618351832818
"tttr.jap7215",23.7839797696446
"wkym.jap7215",24.8414169548146
"ymgc.jap7215",24.5347516737208
"ymgt.jap7215",20.2709421856719
"ymns.jap7215",18.9858053725433
"andn.kor9718",23.2655037733553
"bryn.kor9718",23.386229731962
"busn.kor9718",23.8325010228619
"chnc.kor9718",21.9263441333117
"chng.kor9718",23.0097083101685
"chnn.kor9718",23.9500482641638
"daeg.kor9718",23.5474417378046
"dajn.kor9718",24.1684376246173
"dngh.kor9718",21.6280935000379
"geoj.kor9718",24.2332394959497
"gngn.kor9718",22.1681758147238
"gumi.kor9718",23.1475091948417
"gwng.kor9718",23.8235309356371
"ichn.kor9718",23.1722471939292
"inch.kor9718",23.3737227438459
"jchn.kor9718",22.0381519095909
"jeju.kor9718",23.8120501181408
"jinj.kor9718",22.111583535753
"jngp.kor9718",23.6650314808603
"mlyn.kor9718",23.7008876794852
"mngy.kor9718",22.423325019302
"mokp.kor9718",24.3794362848455
"nmwn.kor9718",23.2647569681955
"phng.kor9718",23.8055945360892
"seol.kor9718",23.228100183433
"sesn.kor9718",23.4374059139883
"sgyp.kor9718",23.8120501181408
"skch.kor9718",21.1291285280322
"suwn.kor9718",23.5415868199174
"tabk.kor9718",21.4439436683712
"tngy.kor9718",23.7684735293893
"ulsn.kor9718",23.8466925835645
"wonj.kor9718",22.7130349149292
"yeos.kor9718",23.4210047964901
"yngc.kor9718",22.9664852432274
"yngj.kor9718",22.952585805333
"kuwt.kuw0016",35.7466070633156
"cddj.mex9814",27.0066785742141
"cmrl.mex9814",24.4410873960388
"gdlj.mex9814",23.012798742664
"leon.mex9814",22.050918111185
"mntr.mex9814",26.6457489145025
"pbtx.mex9814",16.7026687401355
"snlp.mex9814",21.3218413100064
"tijn.mex9814",20.7480965379435
"tldl.mex9814",15.3732248039577
"vlom.mex9814",18.5548388695418
"annn.mld0110",20.6709138885746
"cahl.mld0110",22.1530883975146
"chsn.mld0110",20.5154007330174
"flst.mld0110",20.3044743483629
"amst.net9516c",16.5412374482247
"dnhg.net9516c",16.6912900034966
"endh.net9516c",17.1342196991831
"rttr.net9516c",16.6912900034966
"utrc.net9516c",16.6751685925639
"oslo.nor6918",13.1794274927155
"panm.pan1316",27.1465259239322
"asnc.par0419",27.2873128517387
"aprm.per0814",10.4849928586741
"arqp.per0814",9.25631746936886
"aycc.per0814",10.7479205133796
"cjmr.per0814",9.93179555652562
"cusc.per0814",7.71685630807203
"hncv.per0814",3.67338687416496
"hunc.per0814",10.6988054973323
"icap.per0814",22.9696029916795
"junn.per0814",4.82729931697338
"lima.per0814",21.2683353233791
"llbr.per0814",10.7827997855506
"lmby.per0814",23.5339677896749
"lort.per0814",26.1680818937422
"piur.per0814",26.5590036931344
"puno.per0814",10.9993638024236
"snmr.per0814",24.6493447971677
"tacn.per0814",16.7241513309546
"ucyl.per0814",26.693158873797
"cebu.phi0610",26.963610239498
"dava.phi0610",25.996629508597
"manl.phi0610",28.22795970479
"quzn.phi0610",28.5661862232646
"beja.por8018",23.5455034625586
"cmbr.por8018",19.6455196744607
"cstl.por8018",21.9517549826649
"lisb.por8018",20.0489956920315
"port.por8018",17.7225451308672
"snjn.pue0916",27.6094750826476
"bchr.rom9416",21.3203887044098
"brsv.rom9416",16.4978861771358
"clnp.rom9416",17.8574615856075
"cnst.rom9416",21.9080841738755
"crav.rom9416",21.6761483723321
"galt.rom9416",22.0038175580863
"iasi.rom9416",20.4568913934087
"tmsr.rom9416",20.852293802142
"alfn.sa9713",18.2565178320976
"amth.sa9713",17.6825676397465
"bffc.sa9713",21.4710155829477
"bjnl.sa9713",23.3725286913012
"cacd.sa9713",22.162998364933
"chrh.sa9713",17.9350225649431
"cntk.sa9713",24.3222010627758
"coct.sa9713",17.918078379328
"cprc.sa9713",20.9357097064911
"cpwn.sa9713",20.852717959771
"ctoj.sa9713",19.4241717816556
"ctot.sa9713",24.0573213461561
"drkk.sa9713",21.604304247593
"drsm.sa9713",23.0782943725586
"eden.sa9713",21.3178484062036
"ehln.sa9713",21.5864289322159
"ekrh.sa9713",19.6189765736082
"ethk.sa9713",22.4121591833597
"frnb.sa9713",24.4573422217323
"fzld.sa9713",21.2996646888569
"grtb.sa9713",18.2565034247208
"grts.sa9713",23.9471677298649
"jgqb.sa9713",19.3869904438076
"ljwl.sa9713",22.4888685222708
"mngn.sa9713",22.4966398354817
"mopn.sa9713",24.4944954758764
"ngmm.sa9713",22.276850275984
"nkng.sa9713",19.6954504740915
"nlmb.sa9713",21.0290677310772
"nmkw.sa9713",23.8069092389162
"ortm.sa9713",18.9103023641958
"ovrb.sa9713",21.4836309367277
"pxks.sa9713",25.0444626868784
"ssnk.sa9713",14.9916887471191
"synd.sa9713",26.3934377671214
"thbm.sa9713",18.491602954374
"uguc.sa9713",21.9334385827003
"umgn.sa9713",19.8188871884335
"umkh.sa9713",25.4800594620425
"umzn.sa9713",21.2927449218513
"uthk.sa9713",18.4885495060811
"uthn.sa9713",20.3308821217751
"vhmb.sa9713",26.0878282043099
"wstc.sa9713",17.3687630540014
"wtrb.sa9713",22.4482969101161
"acrn.spa9014",17.2355684074027
"albc.spa9014",23.4567459556705
"alcn.spa9014",24.5434944427991
"almr.spa9014",23.6474387146997
"avil.spa9014",19.3476685470831
"bdjz.spa9014",24.103402709961
"bilb.spa9014",18.1596430744109
"brcl.spa9014",20.7601751809042
"brgs.spa9014",17.5401779925237
"cadz.spa9014",22.2993096923828
"ccrs.spa9014",24.4301187183818
"cddr.spa9014",24.5993528272285
"ceut.spa9014",21.343243878474
"crdb.spa9014",26.0562081258805
"cstl.spa9014",21.896520986088
"cunc.spa9014",20.1427073794506
"gdlj.spa9014",22.4508743736392
"girn.spa9014",18.327094916672
"grnd.spa9014",22.7645205738506
"hulv.spa9014",25.0056415695441
"husc.spa9014",17.6855655857774
"jaen.spa9014",26.5547023785701
"leon.spa9014",19.3473554567431
"lgrn.spa9014",18.9142792648566
"lled.spa9014",24.0771014804528
"lugo.spa9014",17.150913236024
"malg.spa9014",22.960215394067
"mdrd.spa9014",22.3640052270108
"mlll.spa9014",22.9565479816374
"murc.spa9014",25.3874969182249
"orns.spa9014",17.4457165827517
"ovid.spa9014",15.6052388075532
"pgcn.spa9014",22.408634221767
"plmm.spa9014",23.4951418417008
"plnc.spa9014",19.0820296590837
"pmpl.spa9014",18.2468704473777
"pntv.spa9014",18.6372254918833
"segv.spa9014",19.741372220399
"slmn.spa9014",19.6668496954246
"snsb.spa9014",18.2965534848073
"sntn.spa9014",19.3599403656506
"sori.spa9014",16.1047552090004
"svll.spa9014",25.3386541047644
"terl.spa9014",21.2681462122183
"tnrf.spa9014",22.1840233978024
"told.spa9014",24.1311965592181
"trrg.spa9014",23.258260367972
"vitr.spa9014",17.5746503185835
"vlld.spa9014",20.2452095106782
"vlnc.spa9014",23.0833174108287
"zamr.spa9014",20.1696682989402
"zrgz.spa9014",22.9200091352619
"basl.sui9513",16.974825149286
"bern.sui9513",16.7046611664108
"genv.sui9513",16.7022591776021
"lsnn.sui9513",16.0377924579295
"lugn.sui9513",14.1506533605462
"lzrn.sui9513",15.288781290655
"stgl.sui9513",16.8096252178097
"zrch.sui9513",17.1027183025844
"gthn.swe9016",15.2801490065685
"malm.swe9016",15.6581609080905
"stck.swe9016",15.2855424002003
"amnc.tha9908",28.7532929217229
"aytt.tha9908",30.2354081951204
"bngk.tha9908",29.9121196309074
"brrm.tha9908",29.3134558005411
"chch.tha9908",29.645356300229
"chmp.tha9908",26.598198262199
"chnb.tha9908",29.5348051727795
"chnm.tha9908",26.8967267646164
"chnr.tha9908",26.082251676966
"chnt.tha9908",27.1687961765977
"chyp.tha9908",28.6617121211818
"khnk.tha9908",28.800865123311
"klsn.tha9908",29.148714109327
"kmpp.tha9908",29.7494961347737
"knch.tha9908",29.9245197984039
"krab.tha9908",28.0119329233639
"lmph.tha9908",28.4538276797436
"lmpn.tha9908",28.3408762197026
"lpbr.tha9908",30.177905423524
"mhsr.tha9908",29.0313672925605
"mkdh.tha9908",26.9217170442627
"nanc.tha9908",27.2201573106109
"nblp.tha9908",28.2341632780482
"nkhr.tha9908",29.0909291001617
"nkhs.tha9908",30.5763634353388
"nkph.tha9908",25.8914179567431
"nkpt.tha9908",30.1121832175333
"nkst.tha9908",27.8531923387872
"nngk.tha9908",28.1136538896405
"nnth.tha9908",29.9121196309074
"nrth.tha9908",27.6446029663086
"phay.tha9908",27.7630314561187
"phbr.tha9908",28.7018478380871
"phch.tha9908",30.1723615302414
"phra.tha9908",27.3558937698114
"phts.tha9908",29.9788723304624
"prcb.tha9908",28.9207589242227
"prkk.tha9908",26.9142378009734
"ptht.tha9908",30.013929673492
"pttn.tha9908",27.7499098526471
"roet.tha9908",28.9800979364114
"rtch.tha9908",29.6689570692719
"ryng.tha9908",28.7750318683562
"saka.tha9908",28.1562733134286
"skht.tha9908",30.5018388091541
"sknn.tha9908",28.084112723929
"smtp.tha9908",29.204191864514
"smts.tha9908",29.204191864514
"sngk.tha9908",27.8048976460441
"sphn.tha9908",30.4596240934779
"srbr.tha9908",29.6657559254131
"srtt.tha9908",27.636331677046
"sskt.tha9908",29.1362471783748
"surn.tha9908",29.2673492931929
"takc.tha9908",27.7944761432585
"trng.tha9908",27.7979251298748
"ubnr.tha9908",28.6982775328589
"udnt.tha9908",28.6043827744781
"uttr.tha9908",27.874836605885
"yala.tha9908",27.0601938147795
"ysth.tha9908",28.8385807475106
"khsn.twn9414",28.4678973374378
"taip.twn9414",27.546771816757
"tchn.twn9414",27.7165871899357
"acrs.uk9016",13.743470185123
"bdfr.uk9016",16.0056361742141
"blckb.uk9016",14.2956439038516
"blckp.uk9016",14.9908905974286
"brah.uk9016",16.0609730482536
"brdv.uk9016",13.953771772541
"brkn.uk9016",14.9908905974286
"brnl.uk9016",13.743470185123
"brpl.uk9016",15.5028860253136
"brst.uk9016",15.6591836545999
"brut.uk9016",14.7125612612124
"bsld.uk9016",16.3334222938339
"bsng.uk9016",15.9147084387274
"chlm.uk9016",16.1945166360268
"chlt.uk9016",15.6880567114065
"chst.uk9016",13.8059565291089
"clch.uk9016",16.118469703364
"cmbr.uk9016",16.2147531811657
"crdf.uk9016",15.3745230882618
"crwl.uk9016",16.0775247764935
"cvnt.uk9016",15.1674463305679
"dncs.uk9016",14.7916305643903
"drby.uk9016",13.7205484451637
"estb.uk9016",15.9785354438231
"extr.uk9016",14.5114963644986
"frad.uk9016",16.0224659885576
"glcs.uk9016",15.5715740062573
"grms.uk9016",14.5753461327058
"hghw.uk9016",15.8561035248896
"hstn.uk9016",16.0730423057014
"ipsw.uk9016",16.1853596393745
"knuh.uk9016",15.0962424838189
"lcst.uk9016",15.0644084066497
"lncl.uk9016",15.5349939917244
"lndn.uk9016",16.1358677616826
"lutn.uk9016",15.9418334238299
"lvrp.uk9016",14.9908905974286
"mdst.uk9016",16.3334222938339
"mdwt.uk9016",16.2921142504008
"mltk.uk9016",15.8299867964689
"mnch.uk9016",13.743470185123
"mnsf.uk9016",14.5515277651779
"nrth.uk9016",15.6242679320326
"nrwc.uk9016",15.1526237001402
"nttn.uk9016",14.4537462856383
"nwpr.uk9016",15.7846564454459
"oxfr.uk9016",15.576922651892
"pgtr.uk9016",14.6107909285378
"plym.uk9016",14.9897448726763
"prst.uk9016",14.8259601067252
"ptrb.uk9016",15.9359167102473
"rdng.uk9016",15.9147084387274
"shff.uk9016",13.953771772541
"slgh.uk9016",16.0995983983071
"sndr.uk9016",13.8374407102936
"sthh.uk9016",15.9682518074856
"stse.uk9016",16.4405752732092
"sttr.uk9016",14.6009832978611
"swnd.uk9016",15.5018111006014
"swns.uk9016",15.3880137570352
"thnt.uk9016",16.2367082532131
"tlfr.uk9016",15.0105987456182
"tssd.uk9016",14.365317711891
"tyns.uk9016",13.8374407102936
"wign.uk9016",14.8259601067252
"wrcs.uk9016",15.6061244443466
"wrrn.uk9016",14.2956439038516
"wstm.uk9016",15.0903415200489
"wsty.uk9016",13.953771772541
"york.uk9016",14.9850660109853
"mntv.uru1216",21.8977742378952
"agst.usa7306",25.6637063734426
"akrn.usa7306",20.5155108789091
"albn.usa7306",19.826913371745
"albq.usa7306",22.8028263994347
"alln.usa7306",21.7140228110678
"anch.usa7306",12.0583788387111
"anhm.usa7306",20.4027133092947
"anna.usa7306",19.8482327499211
"annn.usa7306",23.4698250728134
"astn.usa7306",27.305074238833
"atlc.usa7306",22.8331343478844
"atln.usa7306",24.2683832655467
"atzc.usa7306",21.7280542413859
"bath.usa7306",24.4712273716089
"bffl.usa7306",20.020227658274
"bkrs.usa7306",25.5842119507265
"bldr.usa7306",16.3686686102624
"bltm.usa7306",22.5833578784237
"bngr.usa7306",17.7945712426787
"bois.usa7306",21.9266663562498
"brgn.usa7306",21.257487543182
"brln.usa7306",20.3243757672277
"brmn.usa7306",25.203773603953
"brns.usa7306",17.9675823703025
"brwn.usa7306",28.8329102545209
"bstn.usa7306",20.3461987658463
"btnr.usa7306",26.4443053466654
"cdrr.usa7306",20.7698048165029
"chcg.usa7306",21.9825691366084
"chrl.usa7306",24.2255511835532
"chsc.usa7306",25.5132715712108
"chtt.usa7306",23.2537251617646
"chwv.usa7306",22.1599228369827
"clmb.usa7306",21.164993320081
"clrs.usa7306",15.3106174317121
"clvl.usa7306",22.0951997618486
"cncn.usa7306",22.6433388203034
"cntn.usa7306",20.5155108789091
"colm.usa7306",25.3497417262343
"crls.usa7306",21.0716455785676
"crpc.usa7306",28.3906286163688
"davs.usa7306",21.18682881697
"dlls.usa7306",27.3991068301771
"dnvr.usa7306",19.5692540939296
"dodg.usa7306",19.751422639083
"dovr.usa7306",23.3745228751761
"drhm.usa7306",24.1666289407699
"dsmn.usa7306",21.626183206527
"dtrt.usa7306",20.613102993753
"dvnp.usa7306",21.3224830341563
"dytb.usa7306",26.7210805548996
"dytn.usa7306",21.309700430305
"elcn.usa7306",32.7859670634571
"elkh.usa7306",20.7299450983767
"elps.usa7306",26.391188706838
"elzb.usa7306",22.0608225677276
"erie.usa7306",21.1408829324977
"essx.usa7306",22.0608225677276
"eugn.usa7306",17.4432332023246
"evns.usa7306",24.1133932680939
"evrt.usa7306",15.5268004263313
"farg.usa7306",18.9798244038566
"flnt.usa7306",19.724371655931
"frsn.usa7306",25.9971951147433
"ftld.usa7306",27.458194614741
"ftmy.usa7306",27.1813408076624
"ftpr.usa7306",27.1192172387724
"ftwr.usa7306",27.2438124431101
"ftwy.usa7306",21.0481459713652
"fytv.usa7306",24.6715712875617
"gary.usa7306",22.2140907787886
"grnb.usa7306",19.3409872193527
"grng.usa7306",20.511357995777
"grnh.usa7306",20.4376470025306
"grnj.usa7306",19.9874589799439
"grnr.usa7306",19.8688950889284
"grns.usa7306",23.6758695937432
"grnv.usa7306",22.3119969941973
"gsns.usa7306",26.1251946192436
"gtty.usa7306",21.4036209302987
"hcry.usa7306",23.2606206603575
"hlln.usa7306",20.9001254258167
"hnll.usa7306",24.896244152747
"hrrs.usa7306",21.9094926874308
"hrtf.usa7306",19.4276187351772
"hstn.usa7306",27.2617368568581
"indn.usa7306",21.7317432948521
"iwct.usa7306",21.1089970483713
"jcks.usa7306",26.0840888798377
"jrsc.usa7306",22.4522681743256
"klmt.usa7306",15.940941355435
"klmz.usa7306",19.8827154423091
"knsh.usa7306",21.4430235279807
"knss.usa7306",23.6582791223459
"knxv.usa7306",23.3663262610693
"lfin.usa7306",21.6782214394777
"lfla.usa7306",26.4780413589656
"lkch.usa7306",26.4736087522127
"lkln.usa7306",26.6703796279514
"lncs.usa7306",21.9828248999996
"lnsn.usa7306",19.8302671249354
"logn.usa7306",20.3461987658463
"losv.usa7306",23.2538816804908
"lprt.usa7306",21.8507904463686
"lsan.usa7306",21.0783590348041
"lsvg.usa7306",25.2788050542112
"lttr.usa7306",25.8595040725601
"macn.usa7306",25.2318050000372
